"Topic_code","Topic_desc","DataSet_code","DataSet_desc","Reporter_code","Reporter_desc","Flow_code","Flow_desc","Indicator_code","Indicator_desc","Partner_code","Partner_desc","Unit_code","Unit_desc","Year","Value","Value_flag","Notes_Export"
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1992,3212021032," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1993,3793484064," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1994,4299518529," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1995,6118047168," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1996,6128235444," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1997,6773573256," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1998,7266141320," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1999,7295052118," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2000,8178568772," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2001,7936899984," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2002,8049394250," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2003,9029733020," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2004,10146752351," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2005,11482320230," ","Coverage: Includes processing zones" 
